Release Year,Title,Language,Director,Cast,Genre,Plot,Rating
2014,Vallinam,Tamil,Arivazhagan,"Nakul, Mrudhula Basker, Atul Kulkarni",sports drama,"The film starts with Krishna (Nakul) and Shiva (Kreshna). They are childhood friends studying in the same college and they are prominent basketball players preparing for a national-level basketball tournament. Following the events of the college, Shiva dies due to heart attack because he was hit by a basketball shot by Krishna. This makes Krishna end his college career. He then joins a new college where a basketball game is teased by a cricket team there. The story lines up when Krishna takes on basketball again and wins the national-level tournament.",4.8
2014,Nimirndhu Nil,Tamil,Samuthirakani,"Jayam Ravi, Amala Paul, Ragini Dwivedi, Sarathkumar",action drama,"Aravindan Sivasamy (Jayam Ravi) is a 26-year-old youth, who was brought up in an ashram run by Harichandra (Nassar). The atmosphere that he grew taught him high moral values, disciplines, dignity, devotion, etc. But when he comes out of the place, his belief and learning will be questioned by the cancerous system. It unsettles him and make him fight against the immoral cultures of the society. He decides to take on corrupt bureaucrats and his friend Ramachandran (Soori), a lawyer Raja Sendhoorapandian (Subbu Panchu), a journalist Gopinath (C. Gopinath), along with his girlfriend Poomaari Mariappan (Amala Paul), join him in his mission to fight against the corruption.
They form a plan and successfully expose 147 government officials, including a court judge and an MP, and are caught taking bribes for an unknown person by the name of Hari Chandran, which was created by none other than Aravindhan himself using his own picture, but modified to look different. Now, all those corrupted officials team up to take on Aravindan and his team with a look-alike, who fits the image and description of Hari Chandran, named Narasimha Reddy (Jayam Ravi), a 42-year-old middle-aged man who does underground work for the Andhra Pradesh government with hints of him being a womanizer; to showcase that Hari Chandran is indeed a real person, as a method of thwarting Aravindan's battle.
Narasimha Reddy, who resides in Andhra Pradesh, accepts the deal with the government officials with the condition of the corrupt officials giving him 14.7 crores to seal the deal. Fearing that all his efforts will go in vain, Aravindan heads to Andhra Pradesh to thwart Narasimha Reddy from claiming the false identity of Hari Chandran, leading to a fight between the two. As the case takes place in the court, Aravindan and his team members are dejected, due to Narasimha Reddy claiming himself as Hari Chandran.
When the 147 corrupt officials are happy that things are going as planned, the plot twist occurs where Narasimha Reddy states the truth, indicating that he was supporting Aravindan from the start after all. The court declares in favor of Aravindan and Narasimha Reddy praises Aravindan for his effort. Narasimha Reddy further explains who exactly he is, as he is a person who runs orphanages and senior homes for female children and elders. He explains that he used the 14.7 crores he received from the corrupt officials to build orphanages in 4 separate states.
As both Aravindan and Narasimha Reddy embrace each other and step out of the court, Narasimha Reddy is stabbed multiple times and a fight breaks out, as the henchmen are set up by the corrupt officials to kill both Aravindan and Narasimha Reddy. Both Aravindan and Narasimha Reddy, with the help of the public, fight the battle, where Narasimha Reddy saves Aravindan from being stabbed, but Narasimha Reddy eventually succumbs to his injuries from further wounds, leaving Aravindan and his team devastated. The end credits showcases that Aravindan and his team become successful in their fight against corruption.",5.6
2014,Aadhiyum Andhamum,Tamil,Kaushik,"Ajay, Mitali Agarwal, Kavitha Srinivasan",thriller,"The protagonist of this story is Karan a psychiatrist. Orphaned at a very young age he was brought up by his maternal uncle. Though not very rich Karan’s uncle ensured that Karan got the best of education and became a doctor. Karan for his part turns out to become a psychiatrist. Karan is a psychiatrist with a difference. He believes in the human touch. As circumstances take him on a professional trip to a reputed medical institute where he takes charge as lecturer cum psychiatrist. The minute he lands in Ooty he is at ease and enjoys every moment at his new destination. As he settles in the new place he feels at home and ease. Soon he gets used to a new routine in his life but just as he thinks that life can't be more perfect he starts experiencing certain disturbances. He starts seeing things in his room which defy the human mind. At first he doesn’t take it seriously but soon they intensify in their hostility with each new day. Soon the disturbances are more terrifying than he can imagine. Doctor Anbarasu is the founder cum dean cum MD of the institute. Soft-spoken but a man who will get what he wants. In him Karan sees a father figure in the beginning which slowly changes with each growing day. As he sees a new side to this person Karan is made to wonder about the true character of the dean. Shalini is a reporter who hosts a reality show in a reputed channel. She arrives at the institute to do a cover story. The first encounter between Karan and Shalini promotes a kind of respect for Karan in Shalini. This respect slowly blossoms into something else. As their paths meet regularly, Karan feels he can confide in Shalini about his disturbances and his sudden trepidation about the dean. Curiosity kindles the reporter in Shalini and she along with Karan embarks on an investigative journey to find out what really is going on in the institute. The going is tough as there are man made hindrances in their path. At one point it is clear to them that no one is telling the truth and everyone is hiding the truth.
Soon both Karan and Shalini feel that they are being followed and that at any point of time something disastrous is going to happen. As time runs out for Shalini to leave the place they have that much less time to find out the truth about the place and the true face of Dr Anbarasu.As they stumble upon the truth it is a shocker. Sometimes what you see need not be the reality at all.",6.1
2014,Oru Modhal Oru Kadhal,Tamil,Keerthi Kumar,"Vivek Rajagopal, Megha Burman",romantic comedy,"Oru modhal oru kadhal is a story of Karthik (Vivek Rajagopal), who falls in love with a girl, and their trouble-filled journey from Chennai to Bangalore to Delhi giving troubles to his friends and family, is portrayed hilariously.",5.8
2014,Cuckoo,Tamil,Raju Murugan,"Attakathi Dinesh, Malavika Nair",romantic drama,"Tamizh is a visually-impaired young man who works as a singer for an entertainment troupe. During one of the weddings he performs at, he meets Sudhanthirakodi, a young woman, who is studying to become a teacher and is also visually-impaired. Tamizh teases her, causing her to leave him waiting for her as she presents her wedding gift to the newly weds and leaves. The following day, he bumps into her on the train and asks his friend to mislead her into getting down at a wrong station. As a result, Kodi is late for her first day of teaching practice. She and her friends then go after whoever who tricked her. The next time he gets on the train, Tamizh candidly talks to his friend about how they played a prank on Kodi the other day, not realizing she is right in front of him. Angered, she hits him with her walking stick, causing him to bleed. Tamizh is embarrassed and is angry when his friends tease him about the incident. However, Kodi feels bad for what she did and apologizes to him the next time they meet. As their friendship grows deeper, Tamizh falls in love with Kodi. With the help of his friends, he composes a romantic poem for her which he records in a CD. When he goes to meet her at her school, he slips the CD into her bag, only to learn from her best friend that Kodi dreams of marrying a person who can see. She has always hoped that Vinod, the young man who volunteers reading to her at the service center will propose to her. On that very day, Vinod takes Kodi out for lunch to show her a surprise. Thinking that he is going to propose, she happily follows. However, she is heartbroken when Vinod introduces her to his fiance, who plans to make Kodi her charity case. When she returns home, she is surprised to find Tamizh's CD and is touched when she listens to it. Later, Tamizh goes through much difficulty to find Kodi's favourite clock with her late father's voice recording as the alarm. Realizing how much Tamizh is in love with her, Kodi finally learns to love him back. However, her greedy elder brother had promised to marry her off to someone else in return for a favour, forcing her and Tamizh to elope. Tamizh manages to obtain enough money to pay off Kodi's brother, but he is tricked by a group of corrupt policemen before being hit by an oncoming van. Unknown to him, Kodi is also in the van on the way to meet him. As they are both silent throughout the journey, neither of them realize the other is also in the van. When Tamizh has finally recovered from the accident, he finds that Kodi has left Chennai to stay away from her brother's family. After a period of time, a reporter friend tells him Kodi was seen in Mumbai. Tamizh goes to the city in search of his one true love and they are finally united.",6.4
2014,Oru Oorla,Tamil,K. S. Vasanthakumar,"Venkatesh, Neha Patil",drama,"Theri, an alcoholic after his mother's death undergoes a change as his sister-in-law delivers a girl. He believes that his mother has reborn as his niece. He takes the responsibility of protecting her, but his brother's fight with a sex worker brings tragedy to all.",5.6
2014,Koottam,Tamil,Jeevan Reddy,"Naveen Chandra, Piaa Bajpai, Kishore",drama,"The Scene begins in a Naxal infested area, where gun battle is ensuing between State policeman and Naxals. In the battle, the Naxals lose many men and they decide to forgo their pursuit of war and they decide to hand themselves to government. During their time in jail, they undergo many tortures but then one the Jail Seniors offers them to switch sides to the police and do hit jobs.",4.9
2014,Maan Karate,Tamil,Thirukumaran,"Sivakarthikeyan, Hansika Motwani, Vamsi Krishna",fantasy,"Five IT employees, Sandy (Sathish), Joe (Rajesh Gopalan), Gokul (Vinu Karthik), Vaishnavi (Preethi Shankar) and Nikita (Ashwathy Ravikumar), meet a siddhar who has the power to grant wishes to those who request them, during a weekend trip to the Chandragiri forest. Sandy, who is sceptical about the siddhar's powers, asks him for a copy of the Daily Thanthi newspaper dated on the day after Ayudha Puja (no newspapers are printed during Ayudha Puja). To his surprise, the siddhar materialises the requested copy. The IT gang read the materialised newspaper and find out to their shock that the company which they work for (Satyam Computers) would close down the next day. When this does happen, they accept the credibility of the newspaper and decide to make money through it. While Nikita is reading the paper, she sees an article where one Peter who stays in Royapuram wins a boxing tournament on the day of Ayudha Puja and dedicates the prize money of ₹2,00,00,000 to the five of them. The IT gang is astounded on reading this news and decide to find this Peter and sponsor him for the boxing tournament, with the hope of getting ₹2,00,00,000, despite eventually finding out from the boxing association that the cash prize for the tournament champion is only ₹1,00,000.
The IT gang successfully manages to track down Peter (Sivakarthikeyan), but immediately find out that he is not a boxer, but an unambitious youth who just spends his time drinking and roaming around with his best friend Neruppu Kumar (Arunraja Kamaraj). However, he is in love with a young woman Yazhini Sethuraman (Hansika Motwani), who is a sports buff. To impress Yazhini, he accepts their offer to participate in the tournament. However, Peter does not show any inclination to train for the tournament, instead he uses the IT gang to fulfil his own desires, including winning Yazhini's heart, much to their chagrin. Later, the IT gang find out that there is another boxer named Peter (Vamsi Krishna) whose father also works in Royapuram BSNL like the Peter they are sponsoring, but is a 15 time champion boxer who is even nicknamed ""Peter the Killer"". Thinking that they are sponsoring the wrong Peter, the IT gang approach ""Killer"" Peter and offer to sponsor him, but he refuses. They reluctantly decide to continue sponsoring the Peter they are currently sponsoring.
Soon the boxing tournament starts and Peter somehow manages to win all the preliminary matches by fluke, by using a technique wherein he uses his nimble and agile body to escape being hit by his stronger and more experienced opponents, eventually causing them to inadvertently get disqualified or knocked out. The media give a name for his technique: ""Maan Karate"", which in English means, ""Deer Karate"". Peter soon becomes known as ""Maan Karate"" Peter (to distinguish from ""Killer"" Peter) and becomes an Internet sensation overnight, winning a lot of fans. Due to Peter's rising popularity, the prize money is raised from ₹1,00,000 to ₹2,00,00,000, and Air Asia sponsors the tournament as expected by the IT gang, who now feel that their dreams will come true with the Peter they are sponsoring after all.
Eventually, Peter enters the final of the tournament, where he is to face ""Killer"" Peter. He becomes upset at this development, fearing that he might be killed by ""Killer"" Peter and revealing to Yazhini that he is not a boxer . He tries to avoid fighting in the final through various means, none of which are successful. In a last-ditch attempt, he tries to convince ""Killer"" Peter to ""throw"" the match so that he could win and impress Yazhini, but is verbally abused and physically assaulted by him in response. Hurt at the treatment which ""Killer"" Peter meted out to him, Peter begins to train hard for the final with the sole purpose of defeating ""Killer"" Peter. Meanwhile, unknown to him, the IT gang defect to ""Killer"" Peter's side after being offered ₹75,00,000 by ""Killer"" Peter's father-in-law Fernando (Ravi Prakash), despite Nikita's reservations.
The final takes place on the day of Ayudha Puja. ""Killer"" Peter immediately gains the upper hand, pummelling Peter with heavy blows. However, Peter is not daunted and continues to put up a brave fight, but is severely weakened and is soon on the verge of being knocked out. A teary-eyed Yazhini, who has found out from Nikita that Peter is not a boxer, tries to convince him to call off the fight, but he refuses. Peter manages to fight back, eventually knocking out ""Killer"" Peter, causing a major upset. Peter wins the boxing tournament and dedicates the prize money of ₹2,00,00,000 to the astounded IT gang, oblivious to their treachery, but they deny the offer. He also publicly conveys his love to a sobbing Yazhini, who is relieved that he has survived.
The movie ends with a display of a portion of the newspaper the siddhar had materialised torn by Nikita and left at the Chandragiri forest several months ago. The portion shows a photo of Peter lifting the boxing tournament trophy.",7.3
2014,Oru Kanniyum Moonu Kalavaanikalum,Tamil,Chimbu Deven,"Arulnithi, Bindu Madhavi, Ashrita Shetty",comedy,"Three friends Tamil, Malar and Esakki, who are planning to kidnap Isabella, Tamizh's girlfriend, who is being forced by her rich father to marry against her wishes. Chakkaravarthy enters the scene as main villain.",6.2
2014,Naan Sigappu Manithan,Tamil,Thiru,"Vishal, Lakshmi Menon, Iniya",thriller,"In the middle of the night, Indhiran (Vishal), accompanied by his two friends, Sathish (Jagan) and Karuna (Sunder Ramu), purchases a gun illegally from a local gangster. Back home, Indhiran stares at his wishlist and recalls his past.
Since childhood, Indhiran has been suffering from narcolepsy, a rare disorder, which makes him fall asleep whenever his emotions reach an extreme and hinders him from living an ordinary life. He needs to be accompanied all the time, companies hesitate to hire him, although he has excelled in academics, and he cannot impregnate women since he would fall asleep during sex. However, he can still hear whatever is being said when he is sleeping.
Indhiran creates a list with 10 goals he wants to achieve on his own. One day, he ventures out alone, which was one of his goals. When he is almost hit by a vehicle while crossing the road, his fear mounts and he falls asleep in the middle of the road. A passerby (Mayilsamy) makes him pose as an orphaned corpse and gathers money from onlookers for his burial. Meera (Lakshmi Menon), who passes by, takes pity and shells out almost five grands.
She later meets Indhiran in a mall and falls unconscious, seeing him alive. After clearing up the misunderstanding, they start dating and fall for each other.Meera makes one of the dreams of Indhiran come true (i.e.)getting a kiss from a beautiful woman by kissing him. But Meera's father opposes their marriage as Indhiran cannot give birth to a child. Meera urges Indhiran to find a way how he could stay awake. It dawns on Indhiran that he had never fallen asleep while taking a shower. Believing that her father will accept Indhiran only when his potency is proved, Meera and Indhiran have sex underwater in their pool, resulting in Meera becoming pregnant.
On a late night drive, Meera and Indhiran find themselves in an under-construction bridge. Their car is hit by another and the shock makes Indhiran doze. Meera is brutally attacked by four thugs. Indhiran can hear the entire incident but remains asleep. Meera falls into coma and her baby has been aborted. A heartbroken Indhiran vows to exact revenge on the perpetrators.
The narrative moves back to the present. Deciding to venge all by himself, Indhiran fails to testify to the police. Indhiran comes to know that the sound of the sudden obsacles make him sleep, to prevent this he buys a portable audio player and uses it with full volume. Enquiring Meera's friends, Indhiran first suspects Karthik (Rishi), a rich but ill-mannered guy, whose marriage proposal was rejected by Meera. Indhiran confronts him, but he feigns ignorance about the incident.
Indhiran remembers that it were four persons, with one of them named Sekhar, and Sekhar's ringtone, while the police finds out that the offenders rode a red car. Indhiran stumbles upon a red car in a petrol bunk and enquires the driver who claims that the car was with a mechanic named Sekhar on the day the crime took place. At the workshop, he spots the mechanic who tries to abscond, recognising Indhiran, and a chase ensues leading them to a building under construction. Informed by Sathish, Karuna arrives there and kills Sekhar. He then slits himself and is admitted for treatment. Karuna then recollects.
Married to Karuna for two years, Kavitha (Iniya) was dissatisfied with her drunkard husband; she begins an affair with Aravind, a rich friend of Karuna. He spends a lot of money on buying her expensive gifts. Indhiran gains knowledge of this and advises Kavitha against it. It turns out that Karuna, to realise his ambitions of running a business in US, had been using his wife to manipulate Aravind. Citing Indhiran's confrontation, Kavitha bluffed to Aravind that if Karuna gets to know about the affair, he would kill them both. She suggested that the only way to solve it once and for all is to arrange the amount of ₹ 20 million Karuna needs to settle in the states. With him gone, they could enjoy being together. Aravind agreed to finance Karuna out of his lust for her.
Later, when Karuna and Kavitha are celebrating their success, Indhiran drops by unexpectedly. They mess up; Indhiran suspects them and informs Aravind who confronts the couple. When Aravind realizes that he had been cheated, he hits Kavitha in a fit of rage and she dies. Infuriated, Karuna retaliated and kills Aravind. Karuna arranges for disposing them with the help of the thugs and lies to Indhiran that Kavitha has eloped with Aravind. Since he assumed that Indhiran was responsible for the death of Kavitha, Karuna had planned to take revenge by making him suffer the same way and requested the thugs to rape Indhiran's girlfriend, Meera.
The remaining thugs insist Karuna to bring Indhiran to the same place where Sekhar was killed. Finding out that it was Karuna who had killed Sekhar, they beat him up. The thugs then remove the audio player from Indhiran who gets an adrenaline rush and dozes off. While the thugs are assaulting him, one of them breaks a water pump which splashes water all over and awakens Indhiran. He kills them all and finally Karuna too. Indhiran tells that he had seen Karuna killing Sekhar but had come with him only to locate the other thugs.
With all his wishes fulfilled, he has a new wish that he would make Meera recover soon. The final scene shows Indhiran hugging Meera who is tearful hearing him which shows that she is definitely recovering.",6.5
2014,Idhuvum Kadandhu Pogum,Tamil,"Anil Krishnan, Srihari Prabaharan","Shivaji Dev, Shilpa Bhatt, Anusha Varma, Ravi Raghavendra",drama,"The film starts off on a tragic note and travels back and forth to then and now. Gautam (Shivaji Dev), a young man in his late twenties, and his fiancée in the U.S., Ramya (Shilpa Bhatt), exchange endearments at midnight little aware of the disaster that is to strike in a few hours. The next morning, he finds out that she has met with an accident and succumbed to her injuries. It isn’t easy for Gautam to come out of the trauma that hits him hard.",7.9
2014,Damaal Dumeel,Tamil,Shree,"Vaibhav, Remya Nambeesan",thriller,"Moneykandan (Vaibhav) is an IT guy who spells his name as 'Money,' and like his name, money is an important driving force in his life, as he dreams of getting his sister married and making his mother happy. He has a loving girlfriend Meera (Ramya Nambeesan), and life seems to be one big party for him. However his life takes a U-turn when he gets suddenly fired from his job. One day, by mistake, a box arrives on his doorstep containing Rs. 5 Crores which is a part of settlement between two bad guys Ilavarasu (Kota Srinivasa Rao) and Kamatchi Sundaram (Sayaji Shinde). Moneykandan wants to run away with the money and start a new life in another country, but he finds that he has caught a tiger by the tail.[4]",3.7
2014,Tenaliraman,Tamil,Yuvaraj Dhayalan,"Vadivelu, Meenakshi Dixit",historical comedy/satire,"The movie opens to a prologue, where King Parasbaram (Radha Ravi), ruler of a small rival kingdom and the nine ministers of the great Empire of Vikata Nagaram are on their way to a Chinese consulate's mansion. They are warmly welcomed by General Wang (Wilson Ng) and courtesan Hong (Vivienne Tseng) once they reach there. The Chinese consulate, headed by Chao Gong Gong (Nickson Cheng), wishes to engage in trade with the people of the Kingdom of Vikata Nagaram and reap the benefits. Thus, the ministers strike a deal with Parasbaram and the ministers to help them, promising them a huge share of the benefits. The Foreign Affairs Minister of Vikata Nagaram, Nandivarma Rayar (Joe Malloori) objects to this, saying that he doesn't want to betray the King and his people for money. Chao Gong Gong realising that he is of no use to the plan, has courtesan Hong kill him with a poisoned needle from her hair.
The film then introduces Tenaliraman (Vadivelu as the witty common man) who captures a gang of thieves (led by ""Besant Nagar"" Ravi) and teaches them a lesson. He then takes off for Vikata Nagaram where he meets the feisty Princess Maadhulai (Meenakshi Dixit), daughter of the King of Vikata Nagaram, and defeats her in an arm wrestling competition.
The film's plot then shifts to the King (Vadivelu again, as the King of Vikata Nagaram), who is ruling over his kingdom along with his nine ministers, whom he claims to be the Navarathnams (nine jewels) of his court. The most interesting aspect is that the King has a rather large family comprising 36 wives and 52 children and is confined mostly to his palace. He believes his people are happy based on the sayings and reports of his ministers. In reality, the people are being robbed and cheated by the corrupt ministers and are living in poverty. During his administration, he realizes the absence of Nandivarma Rayar and asks about it to his ministers, who reply that he had died. The King then declares that a new minister be appointed in Nandivarma Rayar's stead. The guards then announce the news in public. Tenaliraman overhears the news and goes to the palace as a candidate for Nandivarma Rayar's post.
After a display of his all-round talents (singing, dancing, wit and humour), Tenaliraman impresses the King and soon becomes the Minister for Foreign Affairs, Trade and an integral part of the King's court, even closer to the King than the presiding ones. In the meantime, love blossoms between Tenaliraman and Princess Maadhulai. Tenaliraman, in reality, is a rebel who is sent by his comrades to kill the King, whom he believes at first, is responsible for the poverty of the people. Later, while having dinner with the King and the ministers, he discovers that it is the ministers who are at fault and not the King. He tries to warn his comrades of this, but his pigeon who carried the warning message, is captured by one of the ministers (Manobala). He informs the other ministers that Tenaliraman is a rebel and they twist Tenaliraman's message to the rebels, saying that the King will be killed that night. Tenaliraman's comrades believe the twisted message sent to them and raid the palace, only to have them and Tenaliraman get captured by the King. On learning of the conspiracy, the King banishes Tenaliraman from his kingdom.
After a few months, many changes have taken place in Vikata Nagaram. The Chinese have entered the fray and are trading with the Kingdom. Unbeknownst to the King, they are reaping the rewards for themselves, leaving the people even poorer. Parasbaram and the ministers get their share and are enjoying themselves. The King is now very sad thinking of Tenaliraman and misses him. Princess Maadhulai then tells him that Tenaliraman could not have done such a thing and comforts her father. He learns from Tenaliraman's comrade, Kaaliappa (Bose Venkat) that the rebels were wrongly informed and that Tenaliraman was not at fault. The King goes and successfully brings back Tenaliraman to his Kingdom.
Tenaliraman then informs the King in private, that all the rules and regulations and schemes organised by the King on the trade with the Chinese are being carried out in such a way that it only benefits the Chinese and the ministers and not the people, who live in utter poverty, and since the King confines himself mostly to his palace and believes the words of his ministers and that he has lived a rich and prosperous life all along, he cannot mingle and live with the people of his Kingdom even for one day. The King then bets Tenaliraman that he can live with his people incognito for 10 days, and at the same time, find concrete evidence that the people are being robbed and cheated by the Chinese and the ministers. Leaving the care of his Kingdom to Tenaliraman and lying to his wives that he will be going to a nearby Kingdom for administrative purposes and for attending a feast, the King begins his mission.
During his mission, the King learns about the plight of his people from various persons. Soon, he comically finds himself in a hunger strike that is organised against him. When Tenaliraman meets the King in private and converses with him, one of the citizens (Devadarshini) overhears the conversation and discovers that it is the King himself who is among them incognito and reveals it to the citizens of Vikata Nagaram.
In the meantime, Tenaliraman is ruling in the King's state with an Iron grip and because of this, Chao Gong Gong and Parasbaram fear that they might get caught in the process. Parasbaram learns from his spies that the King is in Vikata Nagaram and not elsewhere. He reveals it to Chao Gong Gong and they issue orders to find the King and kill him.
The King, with his citizens, have started a riot in Vikata Nagaram, but unfortunately, the King is captured by the Chinese. Parasbaram, who wanted the throne of Vikata Nagaram for himself, purposefully does not divulge to the Chinese that the King was among those captured until the corrupt ministers came to the consulate to say that the King is in Vikata Nagaram. The King revealed himself and everyone are dumb founded. Chao Gong Gong orders courtesan Hong to kill Parasbarm, because he purposefully failed to realise earlier that the person they caught was the King. The King is then imprisoned in a carriage and taken to a secluded place to be executed. But the leader of a Cannibal tribe stops them midway and orders the King to be handed over to them. Surrounded by Cannibals, Chao Gong Gong reluctantly releases the King. The King, initially frightened, asks the Cannibal who he is. The Cannibal is revealed to be none other than Tenaliraman. Chao Gong Gong uses his telescope and spots something fishy and the ministers and the Chinese traders find out, after General Wang fired at the ""men"" on the hilltop, that the ""men"" were just haystacks and that they have been duped. They then to go after the pair, but Tenaliraman, in his style, chases them out of Vikata Nagaram forever using the same bag of tricks that he used on the gang of thieves earlier.
The film then ends with new people replacing the posts of the corrupt ministers. Tenaliraman becomes the new prime minister. Coincidentally, most of these new people were involved in comical encounters with the King during his 10-day plan. In the end, the King selects a post for himself, on Tenaliraman's suggestion, as the child welfare minister and Princess Maadhulai is selected as the extra curricular activities minister.
The film signs off with the tagline ""Tenaliraman Amaitha Indha Makkal Aatchi Thodarattum.....Dum!"".",5.3
2014,Vaayai Moodi Pesavum,Tamil,Balaji Mohan,"Dulquer Salman, Nazriya Nazim, Madhoo",romantic comedy,"The story takes place in Panimalai, a hill city, during a spring season. The film begins with RJ Balaji (playing himself), coming to Panimalai to be a guest of a live radio show. In the middle of the show, he starts coughing severely and suddenly loses his voice. He is diagnosed with a new type of virus called the Mute flu, that causes sudden muteness and sometimes even death.
Aravindh (Dulquer Salman) is a Sales Rep working with a glue company. His dream is to become a Radio Jockey, and even attends interviews with a FM station. As the Mute Flu spreads across the city, the state Government sends the Health Minister Sundaralingam (Pandiarajan) to Panimalai to take care of the situation. The people are asked to undergo a medical checkup to check whether they are affected by the virus or not. Aravindh goes to the hospital and meets Anjana (Nazriya Nazim), a junior doctor, who believes that talking is the only cause of all the problems in the world and if people keep things to themselves things will be very fine. Anjana is in a relationship with Vinodh, a possessive guy who always commands Anjana on what she should do and even what she should wear. Anjana lives with her Dad and Stepmom Vidhya (Madhoo). Since Anjana lost her mom at a young age, she is reluctant to accept Vidhya as her mom, though she is a sweet and caring woman, and always maintains a distance from her. Vidhya is an aspiring writer, who is trying to get her Husband's attention and support to write her third book. Her husband finds no time to talk to her as he is too busy with his work.
Panimalai comes into the news for another issue, where, Bhoomesh (John Vijay), a film superstar, who has gone to shoot one of his films, is being opposed by Mattai Ravi (Robo Shankar), a drunkard who is the President of the Drinkers Association, over the issue of Bhoomesh showing drunkards in a bad light in his films. The Drinkers Association and Bhoomesh's fans, led by (Ramesh Thilak) form groups to fight over this issue.
Aravindh and Anjana begin a friendship and he insists her that if everything is spoken directly from the heart, there would be no problem between anyone. He asks her to speak openly with Vinodh and sort out the difference of opinion between them. She does not agree to this, and Aravindh challenges her that, if he successfully stops the feud between Bhoomesh and Mattai Ravi just by means of speaking, Anjana should talk openly with Vinodh to sort out their issues. They both agree on the challenge and mark a deadline day. Aravindh tries so many ways to stop the feud between Bhoomesh's fans and the Drinkers association, but it ends up in an even bitter fight. As time goes by, Aravindh falls in love with Anjana, not knowing that she is engaged to Vinodh.
Aravindh is brought up in an Orphanage that belongs to Adhikesavan (Vinu Chakravarthy), a stubborn old man, who is constantly asking the Orphanage to be vacated so that he can rent it to richer tenants. Though Aravindh helps the Children in the Orphanage by donating some of his money, it is not enough to save the Orphanage. Aravindh tries to speak to him and sort the issue, but Adhikesavan is too hesitant even to speak with him.
But Aravindh and his friend kidnap the stubborn man and leave him in his son's house making a close relationship.
The final report by the health organisation says that the dumb flu spreads only by means of speaking, and issues a speaking ban in the town. Then everyone in the town tries to adjust to living with not speaking. Aravindh conducts the meeting with Drinkers Association and Bhoomesh's fans and they reconcile.
A cure for the illness is invented, but if the virus has already infected but has not removed the voice of a person, the cure has a 50% probability of a side effect that the patient might lose the ability to speak. The movie ends with everyone getting cured but minister Sundaralingam, who has been faking the illness being given cure medicine on the stage for a photo op and losing his voice for real.",8.1
2014,Nee Enge En Anbe,Tamil,Sekhar Kammula,"Nayantara, Vaibhav, Pasupathy",thriller,"There was a bomb blast in People's Plaza at Hyderabad. 6 months later Anaamika (Nayantara) an IT professional, comes to Hyderabad in search of her missing husband. As soon as she arrives in Hyderabad, she goes to the police station and waits to give a complaint. The police officers do not pay attention to her and she almost faints. One policeman in the station named Sarathy (Vaibhav Reddy), decides to help her realizing that she was coming here for a huge reason; and the search for her missing husband begins. She goes to the hotel where her husband last stayed. While staying there, she makes the acquaintance of a little boy named Raju who tells her everything.
She goes to places with Sarathy in search of her husband. In once place she finds out that her husband has resigned 2 weeks prior to her coming to India. She also visits the head of a mosque where he tries really hard to find her husband but is soon after murdered. She continuously searches for her husband in various places, and at one point the police inspector proposes that Anaamika should have an affair with him at his guesthouse, and in return he'd find her husband. Anaamika rejects him, and at the same time that the inspector had told Anaamika to come to his guest house, he is mysteriously murdered. The reason was believed to be because they knew where Anaamika's husband was.
The police find out that Anaamika is hiding something and tell Sarathy to lay off of her. As Anaamika was getting closer to revealing a plot of conspiracy, she was expected to be the third murder victim. A CBI officer Pasupathy, who was investigating the bomb blast, tells Anaamika that her husband resembles a terrorist named Milan Damji, who was the main cause for the bomb blast in People's plaza, but she is able to justify that her husband was with her when the bomb blast took place. That night, the murderer comes to kill Anaamika. Stung by bees, he runs away.
Amongst all of these clues and confusing circumstances, how Anaamika finds her husband and what the truth is makes up the rest of the story.",6.6
2014,Yaamirukka Bayamey,Tamil,Deekay,"Kreshna, Rupa Manjari, Oviya",horror comedy,"Kiran (Kreshna) is a television telemarketer, who gets into trouble after one of his products has an opposite effect than what was intended, on the son of a local thug. That is also precisely the moment when he discovers that his ‘real’ father left him a bungalow on an estate in a small town. He cons the son of the don, escapes with the money along with his girlfriend Smitha (Rupa Manjari), renovates the run down mansion into a hotel with the help of a local caretaker Sharath (Karunakaran) who was under the care of Kiran's father before and his bombshell sister Saranya (Oviya). Customers begin trickling in, but strangely most of them wind up dead. Baffled, Kiran tries to uncover the mystery behind the deaths, which eventually leads him to believe that the house is haunted. His suspicions are confirmed when things start going awry in the house, indicating some supernatural presence and when he discovers that the people who checked into his hotel were all previous owners of the land and interestingly all dead themselves. They soon go to seek help from brother Adaikalam, who is actually a cheat. They kidnap him and bring him to the house. The foursome catch an old man inside the house assuming he is a thief. However, the old man says that he and the others will die if they leave the hotel. He narrates that the house was haunted by a ghost — Mohini (Anaswara Kumar) who would kill the owner of the house. Soon the ghost starts to possess the people in the house and attacks Kiran. The gang is finally cornered with no chance of escape. It is said that they would die by midnight. Hearing someone banging on the door, Kiran opens the door to find the don, his son and his thugs. The don asks for the house in return for the money he conned from him. Feeling pity for them, Kiran warns them about the spirit. Not listening to Kiran, the don forces him to sign the papers for the house. Kiran and his friends are let go and they see the spirits of the previous owners on their way out. Just as they go out, they find the don and his thugs outside. Knowing that the ghost has killed the don's group since it is midnight, Kiran and his group walk away.",5.5
